,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
6324,2380,13,143132-C,4室1卫,4/6层,大兴区,旧宫,宣颐家园,地铁：距亦庄线旧宫站850米
6325,1490,9,146745-B,3室1卫,5/6层,房山区,良乡大学城西,鸿顺园西区,地铁：距房山线良乡大学城西站350米
6326,2390,10,150778-A,2室1卫,13/18层,大兴区,荣昌东街,南海家园六里,地铁：距亦庄线荣昌东街站3400米
6329,3570,15,28456-D,4室1卫,21/22层,西城区,车公庄,西直门南大街,"地铁：距6号线,2号线车公庄站50米"
6330,2060,15,30835-C,3室1卫,2/21层,房山区,长阳,康泽佳苑,地铁：距房山线长阳站500米
6331,1860,10,33020-D,4室1卫,6/6层,朝阳区,小红门,燕归宁馨园,地铁：距亦庄线小红门站1200米
6334,4780,24,49287-B,5室1卫,10/17层,朝阳区,青年路,珠江罗马嘉园西区,地铁：距6号线青年路站500米
6335,1760,9,51493-C,3室1卫,2/6层,顺义区,石门,西辛南区,地铁：距15号线石门站450米
6337,2510,7,531-D,4室1卫,3/6层,朝阳区,望京,南湖中园一区,"地铁：距14号线东段,15号线望京站800米"
6338,2830,9,9991-B,4室1卫,6/25层,朝阳区,阜通,花家地西里,地铁：距14号线东段阜通站900米
6339,3380,8,117425-B,2室1卫,4/6层,朝阳区,大望路,光辉南里,"地铁：距1号线,14号线东段大望路站400米"
6340,7700,49,142735-A,1室1卫,12/21层,朝阳区,十里堡,万科金阳国际公寓,地铁：距6号线十里堡站1550米
6341,5580,43,145986-A,1室1卫,3/19层,朝阳区,十里堡,炫特嘉园,地铁：距6号线十里堡站800米
6342,2940,11,149799-B,2室1卫,4/6层,朝阳区,马泉营,马南里,地铁：距15号线马泉营站1350米
6343,1830,8,153615-C,3室1卫,3/6层,大兴区,清源路,兴华园,地铁：距4号线大兴线清源路站600米
6344,4200,20,15768-B,4室1卫,4/16层,海淀区,上地,上地佳园,地铁：距13号线上地站150米
6345,4020,29,17527-C,5室1卫,8/22层,丰台区,角门东,金胜嘉谊家园,地铁：距10号线角门东站700米
6347,3010,18,1897-B,4室1卫,2/6层,朝阳区,南楼梓庄,紫南家园（南区）,地铁：距7号线南楼梓庄站250米
6348,1290,6,24789-C,4室1卫,6/20层,门头沟区,小园,保利首开四季怡园,地铁：距S1线小园站950米
6349,4290,17,28040-B,4室1卫,2/7层,海淀区,车道沟,远大园四区,地铁：距10号线车道沟站800米
